rank_date,rank,prev_rank,team_name,country_code,confederation,total_points,prev_points,matches_played
2021-02-18,1,3,Argentina,ARG,CONMEBOL,1877.27,1874.81,49
2021-02-18,2,2,Spain,ESP,UEFA,1874.71,1876.4,48
2021-02-18,3,1,France,FRA,UEFA,1870.7,1877.32,49
2021-02-18,4,4,England,ENG,UEFA,1828.02,1825.97,50
2021-02-18,5,5,Portugal,POR,UEFA,1767.85,1763.83,48
2021-02-18,6,6,Brazil,BRA,CONMEBOL,1765.86,1761.16,44
2021-02-18,7,8,Morocco,MAR,CAF,1755.1,1755.87,69
2021-02-18,8,7,Netherlands,NED,UEFA,1753.57,1757.87,49
2021-02-18,9,9,Belgium,BEL,UEFA,1742.24,1734.71,46
2021-02-18,10,10,Germany,GER,UEFA,1735.77,1730.37,47
2021-02-18,11,11,Croatia,CRO,UEFA,1714.87,1717.07,48
2021-02-18,12,12,Italy,ITA,UEFA,1704.73,1700.37,44
2021-02-18,13,13,Colombia,COL,CONMEBOL,1698.35,1693.09,46
2021-02-18,14,15,Mexico,MEX,CONCACAF,1687.48,1681.03,66
2021-02-18,15,14,Senegal,SEN,CAF,1684.07,1688.99,71
2021-02-18,16,17,Uruguay,URU,CONMEBOL,1673.07,1673.07,41
2021-02-18,17,16,USA,USA,CONCACAF,1671.23,1673.13,61
2021-02-18,18,18,Japan,JPN,AFC,1661.58,1660.43,53
2021-02-18,19,19,Switzerland,SUI,UEFA,1650.06,1649.4,47
2021-02-18,20,21,IR Iran,IRN,AFC,1619.58,1615.3,48
2021-02-18,21,20,Denmark,DEN,UEFA,1619.47,1620.81,43
2021-02-18,22,22,Türkiye,TUR,UEFA,1605.73,1599.04,45
2021-02-18,23,23,Ecuador,ECU,CONMEBOL,1598.52,1594.78,46
2021-02-18,24,24,Austria,AUT,UEFA,1597.4,1593.45,42
2021-02-18,25,25,Korea Republic,KOR,AFC,1591.63,1588.66,55
2021-02-18,26,26,Nigeria,NGA,CAF,1585.02,1585.09,61
2021-02-18,27,27,Australia,AUS,AFC,1579.34,1580.67,45
2021-02-18,28,28,Algeria,ALG,CAF,1571.03,1564.26,64
2021-02-18,29,29,Egypt,EGY,CAF,1562.37,1563.24,53
2021-02-18,30,30,Canada,CAN,CONCACAF,1559.48,1556.48,50
2021-02-18,31,31,Norway,NOR,UEFA,1557.44,1550.94,39
2021-02-18,32,32,Ukraine,UKR,UEFA,1549.29,1546.88,40
2021-02-18,33,34,Côte d'Ivoire,CIV,CAF,1540.87,1532.98,56
2021-02-18,34,33,Panama,PAN,CONCACAF,1539.16,1540.64,52
2021-02-18,35,36,Russia,RUS,UEFA,1529.6,1525.6,27
2021-02-18,36,35,Poland,POL,UEFA,1526.18,1528.0,46
2021-02-18,37,37,Wales,WAL,UEFA,1516.95,1524.29,41
2021-02-18,38,38,Sweden,SWE,UEFA,1509.79,1514.77,42
2021-02-18,39,42,Hungary,HUN,UEFA,1506.39,1500.58,43
2021-02-18,40,41,Czechia,CZE,UEFA,1505.74,1501.38,42
2021-02-18,41,40,Paraguay,PAR,CONMEBOL,1505.35,1503.5,38
2021-02-18,42,43,Scotland,SCO,UEFA,1503.34,1498.35,43
2021-02-18,43,39,Serbia,SRB,UEFA,1502.13,1508.65,45
2021-02-18,44,45,Cameroon,CMR,CAF,1481.24,1481.24,49
2021-02-18,45,44,Tunisia,TUN,CAF,1476.41,1483.05,50
2021-02-18,46,46,Congo DR,COD,CAF,1474.43,1478.35,54
2021-02-18,47,48,Slovakia,SVK,UEFA,1473.66,1473.94,43
2021-02-18,48,47,Greece,GRE,UEFA,1473.19,1475.82,39
