date,team,opponent,goals_for,goals_against,match_type,tournament,country
2021-01-12,United Arab Emirates,Iraq,0,0,home,Friendly,United Arab Emirates
2021-01-18,Kuwait,Palestine,0,1,home,Friendly,Kuwait
2021-01-19,Dominican Republic,Puerto Rico,0,1,home,Friendly,Dominican Republic
2021-01-22,Guatemala,Puerto Rico,1,0,home,Friendly,Guatemala
2021-01-25,Dominican Republic,Serbia,0,0,home,Friendly,Dominican Republic
2021-01-27,Iraq,Kuwait,2,1,home,Friendly,Iraq
2021-01-28,Panama,Serbia,0,0,home,Friendly,Panama
2021-01-31,United States,Trinidad and Tobago,7,0,home,Friendly,United States
2021-02-01,Jordan,Tajikistan,2,0,home,Friendly,United Arab Emirates
2021-02-05,Jordan,Tajikistan,0,1,home,Friendly,United Arab Emirates
2021-02-15,Jordan,Uzbekistan,0,2,home,Friendly,United Arab Emirates
2021-02-24,Guatemala,Nicaragua,1,0,home,Friendly,Guatemala
2021-03-13,Kenya,South Sudan,1,0,home,Friendly,Kenya
2021-03-15,Kenya,Tanzania,2,1,home,Friendly,Kenya
2021-03-17,Ethiopia,Malawi,4,0,home,Friendly,Ethiopia
2021-03-20,Oman,Jordan,0,0,home,Friendly,United Arab Emirates
2021-03-24,Ethiopia,Madagascar,4,0,home,African Cup of Nations qualification,Ethiopia
2021-03-24,Rwanda,Mozambique,1,0,home,African Cup of Nations qualification,Rwanda
2021-03-24,São Tomé and Príncipe,Sudan,0,2,home,African Cup of Nations qualification,São Tomé and Príncipe
2021-03-24,Uganda,Burkina Faso,0,0,home,African Cup of Nations qualification,Uganda
2021-03-24,South Sudan,Malawi,0,1,home,African Cup of Nations qualification,Sudan
2021-03-24,Guinea,Mali,1,0,home,African Cup of Nations qualification,France
2021-03-24,Chad,Namibia,0,3,home,African Cup of Nations qualification,Chad
2021-03-24,Cyprus,Slovakia,0,0,home,FIFA World Cup qualification,Cyprus
2021-03-24,Slovenia,Croatia,1,0,home,FIFA World Cup qualification,Slovenia
2021-03-24,Malta,Russia,1,3,home,FIFA World Cup qualification,Malta
2021-03-24,Latvia,Montenegro,1,2,home,FIFA World Cup qualification,Latvia
2021-03-24,Gibraltar,Norway,0,3,home,FIFA World Cup qualification,Gibraltar
2021-03-24,Turkey,Netherlands,4,2,home,FIFA World Cup qualification,Turkey
2021-03-24,Estonia,Czech Republic,2,6,home,FIFA World Cup qualification,Poland
2021-03-24,Qatar,Luxembourg,1,0,home,Friendly,Hungary
2021-03-24,Belarus,Honduras,1,1,home,Friendly,Belarus
2021-03-24,Jordan,Lebanon,1,0,home,Friendly,United Arab Emirates
2021-03-24,Kosovo,Lithuania,4,0,home,Friendly,Kosovo
2021-03-24,Antigua and Barbuda,Montserrat,2,2,home,FIFA World Cup qualification,Curaçao
2021-03-24,Belgium,Wales,3,1,home,FIFA World Cup qualification,Belgium
2021-03-24,Guatemala,Cuba,1,0,home,FIFA World Cup qualification,Guatemala
2021-03-24,Suriname,Cayman Islands,3,0,home,FIFA World Cup qualification,Suriname
2021-03-24,Saint Kitts and Nevis,Puerto Rico,1,0,home,FIFA World Cup qualification,Dominican Republic
2021-03-24,Portugal,Azerbaijan,1,0,home,FIFA World Cup qualification,Italy
2021-03-24,Serbia,Republic of Ireland,3,2,home,FIFA World Cup qualification,Serbia
2021-03-24,France,Ukraine,1,1,home,FIFA World Cup qualification,France
2021-03-24,Finland,Bosnia and Herzegovina,2,2,home,FIFA World Cup qualification,Finland
2021-03-24,Dominican Republic,Dominica,1,0,home,FIFA World Cup qualification,Dominican Republic
2021-03-25,Romania,North Macedonia,3,2,home,FIFA World Cup qualification,Romania
2021-03-25,Liechtenstein,Armenia,0,1,home,FIFA World Cup qualification,Liechtenstein
2021-03-25,Germany,Iceland,3,0,home,FIFA World Cup qualification,Germany
2021-03-25,England,San Marino,5,0,home,FIFA World Cup qualification,England
2021-03-25,Andorra,Albania,0,1,home,FIFA World Cup qualification,Andorra
2021-03-25,South Africa,Ghana,1,1,home,African Cup of Nations qualification,South Africa
2021-03-25,Hungary,Poland,3,3,home,FIFA World Cup qualification,Hungary
2021-03-25,Gambia,Angola,1,0,home,African Cup of Nations qualification,Gambia
2021-03-25,Libya,Tunisia,2,5,home,African Cup of Nations qualification,Libya
2021-03-25,Comoros,Togo,0,0,home,African Cup of Nations qualification,Comoros
2021-03-25,Kenya,Egypt,1,1,home,African Cup of Nations qualification,Kenya
2021-03-25,Botswana,Zimbabwe,0,1,home,African Cup of Nations qualification,Botswana
2021-03-25,Zambia,Algeria,3,3,home,African Cup of Nations qualification,Zambia
2021-03-25,Equatorial Guinea,Tanzania,1,0,home,African Cup of Nations qualification,Equatorial Guinea
2021-03-25,Tajikistan,Mongolia,3,0,home,FIFA World Cup qualification,Tajikistan
2021-03-25,Gabon,DR Congo,3,0,home,African Cup of Nations qualification,Gabon
